,date,state,positive,negative,pending,hospitalized,death,total,dateChecked,totalTestResults,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,20200326,AK,59.0,1801.0,,3.0,1.0,1860,2020-03-26T20:00:00Z,1860,0.0,2.0,152.0,17.0,169.0
1,20200326,AL,506.0,3593.0,,,1.0,4099,2020-03-26T20:00:00Z,4099,1.0,0.0,1064.0,223.0,1287.0
2,20200326,AR,335.0,1504.0,0.0,41.0,3.0,1839,2020-03-26T20:00:00Z,1839,1.0,19.0,67.0,55.0,122.0
3,20200326,AS,0.0,,,,0.0,0,2020-03-26T20:00:00Z,0,0.0,0.0,0.0,0.0,0.0
4,20200326,AZ,577.0,347.0,33.0,66.0,8.0,957,2020-03-26T20:00:00Z,924,2.0,58.0,24.0,127.0,151.0
5,20200326,CA,3006.0,17380.0,57400.0,,65.0,77786,2020-03-26T20:00:00Z,20386,25.0,0.0,3928.0,904.0,4832.0
6,20200326,CO,1086.0,6978.0,,148.0,19.0,8064,2020-03-26T20:00:00Z,8064,8.0,64.0,189.0,174.0,363.0
7,20200326,CT,1012.0,5625.0,,125.0,21.0,6637,2020-03-26T20:00:00Z,6637,2.0,12.0,602.0,137.0,739.0
8,20200326,DC,231.0,1626.0,1.0,,3.0,1858,2020-03-26T20:00:00Z,1857,1.0,0.0,203.0,48.0,251.0
9,20200326,DE,130.0,36.0,,13.0,1.0,166,2020-03-26T20:00:00Z,166,1.0,2.0,0.0,15.0,15.0
10,20200326,FL,2355.0,23741.0,1443.0,406.0,28.0,27539,2020-03-26T20:00:00Z,26096,6.0,90.0,8367.0,673.0,9040.0
11,20200326,GA,1525.0,7401.0,,473.0,48.0,8926,2020-03-26T20:00:00Z,8926,8.0,79.0,2469.0,278.0,2747.0
12,20200326,GU,45.0,263.0,,11.0,1.0,308,2020-03-26T20:00:00Z,308,0.0,1.0,30.0,8.0,38.0
13,20200326,HI,95.0,4357.0,,5.0,,4452,2020-03-26T20:00:00Z,4452,0.0,-1.0,0.0,5.0,5.0
14,20200326,IA,179.0,2578.0,,46.0,1.0,2757,2020-03-26T20:00:00Z,2757,0.0,10.0,0.0,34.0,34.0
15,20200326,ID,123.0,2065.0,,,0.0,2188,2020-03-26T20:00:00Z,2188,0.0,0.0,178.0,50.0,228.0
16,20200326,IL,2538.0,14093.0,,,26.0,16631,2020-03-26T20:00:00Z,16631,7.0,0.0,1749.0,673.0,2422.0
17,20200326,IN,645.0,4006.0,,,17.0,4651,2020-03-26T20:00:00Z,4651,3.0,0.0,1127.0,168.0,1295.0
18,20200326,KS,168.0,2869.0,,,3.0,3037,2020-03-26T20:00:00Z,3037,0.0,0.0,509.0,42.0,551.0
19,20200326,KY,198.0,3102.0,,,4.0,3300,2020-03-26T20:00:00Z,3300,0.0,0.0,237.0,41.0,278.0
20,20200326,LA,2305.0,15724.0,,676.0,83.0,18029,2020-03-26T20:00:00Z,18029,18.0,185.0,6068.0,510.0,6578.0
21,20200326,MA,2417.0,21204.0,,219.0,25.0,23621,2020-03-26T20:00:00Z,23621,10.0,116.0,3248.0,579.0,3827.0
22,20200326,MD,580.0,94.0,,132.0,4.0,674,2020-03-26T20:00:00Z,674,0.0,132.0,0.0,157.0,157.0
23,20200326,ME,155.0,3394.0,,,,3549,2020-03-26T20:00:00Z,3549,0.0,0.0,217.0,6.0,223.0
24,20200326,MI,2856.0,6550.0,,,60.0,9406,2020-03-26T20:00:00Z,9406,17.0,0.0,4481.0,562.0,5043.0
25,20200326,MN,346.0,12604.0,,41.0,2.0,12950,2020-03-26T20:00:00Z,12950,1.0,6.0,1416.0,59.0,1475.0
26,20200326,MO,502.0,369.0,,,8.0,871,2020-03-26T20:00:00Z,871,0.0,0.0,0.0,146.0,146.0
27,20200326,MP,0.0,,,,0.0,0,2020-03-26T20:00:00Z,0,0.0,0.0,0.0,0.0,0.0
28,20200326,MS,485.0,2291.0,,150.0,6.0,2776,2020-03-26T20:00:00Z,2776,4.0,33.0,725.0,108.0,833.0
29,20200326,MT,71.0,2128.0,,1.0,,2199,2020-03-26T20:00:00Z,2199,0.0,1.0,180.0,18.0,198.0
30,20200326,NC,636.0,12274.0,,29.0,2.0,12910,2020-03-26T20:00:00Z,12910,1.0,0.0,2289.0,132.0,2421.0
31,20200326,ND,52.0,2039.0,,10.0,0.0,2091,2020-03-26T20:00:00Z,2091,0.0,2.0,305.0,13.0,318.0
32,20200326,NE,73.0,1584.0,,,0.0,1657,2020-03-26T20:00:00Z,1657,0.0,0.0,280.0,12.0,292.0
33,20200326,NH,137.0,3001.0,712.0,19.0,1.0,3850,2020-03-26T20:00:00Z,3138,0.0,6.0,645.0,29.0,674.0
34,20200326,NJ,6876.0,13661.0,,,81.0,20537,2020-03-26T20:00:00Z,20537,19.0,0.0,3209.0,2474.0,5683.0
35,20200326,NM,112.0,7681.0,,,1.0,7793,2020-03-26T20:00:00Z,7793,0.0,0.0,939.0,12.0,951.0
36,20200326,NV,420.0,4697.0,,,10.0,5117,2020-03-26T20:00:00Z,5117,4.0,0.0,446.0,99.0,545.0
37,20200326,NY,37258.0,84846.0,,6844.0,385.0,122104,2020-03-26T20:00:00Z,122104,100.0,3039.0,12178.0,6447.0,18625.0
38,20200326,OH,867.0,16449.0,,223.0,15.0,17316,2020-03-26T20:00:00Z,17316,5.0,41.0,2389.0,163.0,2552.0
39,20200326,OK,248.0,958.0,,86.0,7.0,1206,2020-03-26T20:00:00Z,1206,2.0,27.0,153.0,84.0,237.0
40,20200326,OR,327.0,6953.0,,90.0,11.0,7280,2020-03-26T20:00:00Z,7280,3.0,29.0,2603.0,118.0,2721.0
41,20200326,PA,1687.0,16441.0,,,16.0,18128,2020-03-26T20:00:00Z,18128,5.0,0.0,5248.0,560.0,5808.0
42,20200326,PR,64.0,377.0,335.0,,2.0,776,2020-03-26T20:00:00Z,441,0.0,0.0,60.0,13.0,73.0
43,20200326,RI,165.0,1339.0,181.0,23.0,,1685,2020-03-26T20:00:00Z,1504,0.0,7.0,196.0,41.0,237.0
44,20200326,SC,456.0,2307.0,,109.0,9.0,2763,2020-03-26T20:00:00Z,2763,2.0,7.0,4.0,32.0,36.0
45,20200326,SD,46.0,1973.0,125.0,,1.0,2144,2020-03-26T20:00:00Z,2019,0.0,0.0,1154.0,5.0,1159.0
46,20200326,TN,957.0,13952.0,,76.0,3.0,14909,2020-03-26T20:00:00Z,14909,0.0,23.0,2940.0,173.0,3113.0
47,20200326,TX,1396.0,20028.0,,,18.0,21424,2020-03-26T20:00:00Z,21424,6.0,0.0,7508.0,422.0,7930.0
48,20200326,UT,402.0,7308.0,,,1.0,7710,2020-03-26T20:00:00Z,7710,0.0,0.0,817.0,56.0,873.0
49,20200326,VA,460.0,5729.0,,65.0,13.0,6189,2020-03-26T20:00:00Z,6189,4.0,6.0,750.0,69.0,819.0
50,20200326,VI,17.0,55.0,2.0,,0.0,74,2020-03-26T20:00:00Z,72,0.0,0.0,0.0,0.0,0.0
51,20200326,VT,158.0,1850.0,,,9.0,2008,2020-03-26T20:00:00Z,2008,1.0,0.0,261.0,35.0,296.0
52,20200326,WA,2580.0,31712.0,,,132.0,34292,2020-03-26T20:00:00Z,34292,9.0,0.0,0.0,111.0,111.0
53,20200326,WI,707.0,11583.0,,,8.0,12290,2020-03-26T20:00:00Z,12290,1.0,0.0,1494.0,122.0,1616.0
54,20200326,WV,51.0,1031.0,19.0,1.0,0.0,1101,2020-03-26T20:00:00Z,1082,0.0,0.0,272.0,12.0,284.0
55,20200326,WY,53.0,1052.0,,,,1105,2020-03-26T20:00:00Z,1105,0.0,0.0,98.0,9.0,107.0
